CATEGORY 3.1,,,,,,,,,,,,,,,,,,,,,
Scopus search query:,,,"TITLE-ABS-KEY ( ( ( ""PointNet"" OR ""PointNet++"" OR ""PointCNN"" OR ""DGCNN"" OR ""KPConv"" OR ""PointConv"" OR ""Point transformer"" OR ""ShellNet"" OR ""PointBERT"" OR ""CurverNet"" OR ""Self organizing network"" ) AND ( ""3D data"" OR ""pointcloud"" OR ""point cloud"" ) AND ( ""construction industry"" OR ""building"" OR ""AEC"" OR ""BIM"" ) ) ) AND PUBYEAR > 2007 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
Su S.; Nakano K.; Wakabayashi K.,"Su, S. (57219023107); Nakano, K. (55290431900); Wakabayashi, K. (57742675600)",57219023107; 55290431900; 57742675600,BUILDING DETECTION FROM AERIAL LIDAR POINT CLOUD USING DEEP LEARNING,2022,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",43,B2-2022,,291,296,5,0,10.5194/isprs-archives-XLIII-B2-2022-291-2022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132009017&doi=10.5194%2fisprs-archives-XLIII-B2-2022-291-2022&partnerID=40&md5=e2af3f65cfaab7cd358e572e9c407b9a,"With the development and widespread application of aerial LiDAR, point cloud data can easily be acquired and used in many fields. The accurate detection of buildings from an aerial LiDAR point cloud has attracted much attention owing to its wide range of applications, such as updating building maps and constructing 3D city models. However, such applications remain challenging in the fields of photogrammetry, remote sensing, and computer vision. In this paper, we discuss the features that contribute to building detection accuracy from an aerial LiDAR point cloud using a deep-learning-based method (KPConv). We evaluated the influence of neighborhood size, intensity, RGB, and normal vectors on building detection. The study area was approximately 6 km2, consisting of 133 million points and 8,099 buildings. The density of the point cloud data was eight points/m2. We compared search radii of 4, 10, 25, and 50 m for finding neighboring points. The results suggest that an optimal neighborhood size improves the accuracy of building detection. For searching neighboring points, a radius of 25 m is optimal when the building area is less than 1000 m2, whereas a radius of 50 m is optimal when the building area is larger than 1000 m2.We also compared different features as inputs to KPConv for training and testing, such as i) 3D coordinates only, ii) 3D coordinates and intensity, iii) 3D coordinates and RGB, iv) 3D coordinates and normal vectors, and v) 3D coordinates, intensity, RGB, and normal vectors. The results suggest that neither intensity nor normal vectors contribute to the accuracy of building detection, while the features of RGB have a limited effect on the results.  © 2022. International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives. All rights reserved. ",Aerial LiDAR; Building detection; Deep Learning; Intensity; Neighborhood size; Normal vectors; Point cloud; RGB,Conference paper,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85132009017
Shao W.; Kakizaki K.; Araki S.; Mukai T.,"Shao, Wanpeng (57461744500); Kakizaki, Ken'ichi (36876160100); Araki, Shunsuke (7402410948); Mukai, Tomohisa (42661692100)",57461744500; 36876160100; 7402410948; 42661692100,Automated Two-Stage Approach for Damage Detection of Surface Defects in Historical Buildings,2022,"Proceedings - 2022 IEEE 46th Annual Computers, Software, and Applications Conference, COMPSAC 2022",,,,1816,1821,5,0,10.1109/COMPSAC54236.2022.00289,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136959344&doi=10.1109%2fCOMPSAC54236.2022.00289&partnerID=40&md5=cb9a29e8d2eb36dd8d6a14e710d2595e,"Damages of reinforced concrete buildings caused by aging or complicated environmental factors have become a worldwide problem. It is critical to accurately obtain damage information to determine the current state of the aging structure or its levels of decay. However, the inspection of multiple damages o the whole surface of a concrete structure is challenging. In this study, we present a two-stage method for damage detection of surface deflects of reinforced concrete buildings in point clouds captured by a terrestrial laser scanner using a 3D neural network and a novel cluster analysis technique. In the first stage, we divide the whole building into 3D grids, then a classification of multiple damages is performed using PointNet++ along with 3D data with color information mapped on it. In the second stage, we propose a four-step post-processing method based on cluster analysis including removal of isolated damaged clusters, dilation, and filling to develop the detection results. Experimental results show that the voxel-based recall rate reaches 0.928 and the precision rate reaches 0.753. The proposed method offers an acceptable damage detection performance on aging concrete surfaces. © 2022 IEEE.",aging; cluster analysis; PointNet++; reinforced concrete building; two-stage damage detection,Conference paper,Final,,Scopus,2-s2.0-85136959344
Hsieh C.-S.; Ruan X.-J.,"Hsieh, Chia-Sheng (14041609100); Ruan, Xiang-Jie (57211665749)",14041609100; 57211665749,Automated Semantic Segmentation of Indoor Point Clouds from Close-Range Images with Three-Dimensional Deep Learning,2023,Buildings,13,2,468,,,,1,10.3390/buildings13020468,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149237770&doi=10.3390%2fbuildings13020468&partnerID=40&md5=14502c284b46baad924b2f5eac13c7d4,"The creation of building information models requires acquiring real building conditions. The generation of a three-dimensional (3D) model from 3D point clouds involves classification, outline extraction, and boundary regularization for semantic segmentation. The number of 3D point clouds generated using close-range images is smaller and tends to be unevenly distributed, which is not conducive to automated modeling processing. In this paper, we propose an efficient solution for the semantic segmentation of indoor point clouds from close-range images. A 3D deep learning framework that achieves better results is further proposed. A dynamic graph convolutional neural network (DGCNN) 3D deep learning method is used in this study. This method was selected to learn point cloud semantic features. Moreover, more efficient operations can be designed to build a module for extracting point cloud features such that the problem of inadequate beam and column classification can be resolved. First, DGCNN is applied to learn and classify the indoor point cloud into five categories: columns, beams, walls, floors, and ceilings. Then, the proposed semantic segmentation and modeling method is utilized to obtain the geometric parameters of each object to be integrated into building information modeling software. The experimental results show that the overall accuracy rates of the three experimental sections of Area_1 in the Stanford 3D semantic dataset test results are 86.9%, 97.4%, and 92.5%. The segmentation accuracy of corridor 2F in a civil engineering building is 94.2%. In comparing the length with the actual on-site measurement, the root mean square error is found to be ±0.03 m. The proposed method is demonstrated to be capable of automatic semantic segmentation from 3D point clouds with indoor close-range images. © 2023 by the authors.",3D point cloud; building information model; deep learning; semantic segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85149237770
Verajagadheswa P.; Soundar Kandasamy P.; Elangovan K.; Rajesh Elara M.; Bui M.V.; Vu Le A.,"Verajagadheswa, Prabakaran (57432130400); Soundar Kandasamy, Prathap (57430726600); Elangovan, Karthikeyan (56979171300); Rajesh Elara, Mohan (36456051800); Bui, Minh V. (57430726700); Vu Le, Anh (57209297313)",57432130400; 57430726600; 56979171300; 36456051800; 57430726700; 57209297313,A novel autonomous staircase cleaning system with robust 3D-Deep Learning-based perception technique for Area-Coverage,2022,Expert Systems with Applications,194,,116528,,,,7,10.1016/j.eswa.2022.116528,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123714419&doi=10.1016%2fj.eswa.2022.116528&partnerID=40&md5=94701dad95f200010624257ac4506649,"Cleaning the staircases is the next big leap for every commercial cleaning robot in order to accomplish a full-fledged cleaning of a constructed buildings. Such an effort could be witnessed in the academic literature where a robotic system can autonomously clean the staircase by ascending. However, none of the existing staircase traversing platforms demonstrated the ability to perform both ascending and descending motion while cleaning, which can significantly improvise the overall robot's performance. In this paper, we propose a novel reconfigurable cleaning robotic platform called sTetro_plotter, which can perform both ascend and descend motion in the staircases. Pointedly, in this work, we presented a perception framework for the developed robot to traverse on the staircase and perform area coverage autonomously. The framework was constructed with a pointNet++ based feature extractor and classification and regression network to generate a bounding box on the targeted feature. Also, we discussed the process of a staircase descending through tracking the generated bounding box. We implemented a sweeping-based lidar device that can generate a 3D point cloud by sensing its environment. We evaluated the performance of the proposed robot and its perception system through conducting experiments in real-world scenarios. The experimental trials successfully demonstrate the ability of the sTetro_plotter robot to perform autonomous area coverage while traversing on the staircase using the developed perception framework. © 2022 Elsevier Ltd",3D Point Cloud; Area Coverage; Building Maintenance; Cleaning System; Perception for Autonomy; Staircase Traversing,Article,Final,,Scopus,2-s2.0-85123714419
Wang D.; Wang J.; Scaioni M.; Si Q.,"Wang, Duo (57207431247); Wang, Jin (57882088400); Scaioni, Marco (8261815100); Si, Qi (57213141618)",57207431247; 57882088400; 8261815100; 57213141618,Coarse-to-fine classification of road infrastructure elements from mobile point clouds using symmetric ensemble point network and euclidean cluster extraction,2020,Sensors (Switzerland),20,1,225,,,,6,10.3390/s20010225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077610038&doi=10.3390%2fs20010225&partnerID=40&md5=9a180aa8e62511fc9b4ede3ed2dd383f,"Classifying point clouds obtained from mobile laser scanning of road environments is a fundamental yet challenging problem for road asset management and unmanned vehicle navigation. Deep learning networks need no prior knowledge to classify multiple objects, but often generate a certain amount of false predictions. However, traditional clustering methods often involve leveraging a priori knowledge, but may lack generalisability compared to deep learning networks. This paper presents a classification method that coarsely classifies multiple objects of road infrastructure with a symmetric ensemble point (SEP) network and then refines the results with a Euclidean cluster extraction (ECE) algorithm. The SEP network applies a symmetric function to capture relevant structural features at different scales and select optimal sub-samples using an ensemble method. The ECE subsequently adjusts points that have been predicted incorrectly by the first step. The experimental results indicate that this method effectively extracts six types of road infrastructure elements: road surfaces, buildings, walls, traffic signs, trees and streetlights. The overall accuracy of the SEP-ECE method improves by 3.97% with respect to PointNet. The achieved average classification accuracy is approximately 99.74%, which is suitable for practical use in transportation network management. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Deep learning; Euclidean cluster extraction; Mobile laser scanning; Point cloud; Road infrastructure; Symmetric ensemble point network,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85077610038
Yin C.; Wang B.; Gan V.J.L.; Wang M.; Cheng J.C.P.,"Yin, Chao (57221927168); Wang, Boyu (57221940953); Gan, Vincent J.L. (56282821800); Wang, Mingzhu (57202642024); Cheng, Jack C.P. (57204665849)",57221927168; 57221940953; 56282821800; 57202642024; 57204665849,Automated semantic segmentation of industrial point clouds using ResPointNet++,2021,Automation in Construction,130,,103874,,,,28,10.1016/j.autcon.2021.103874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112036660&doi=10.1016%2fj.autcon.2021.103874&partnerID=40&md5=296f3f3b576a7015352804171a0de0e9,"Currently, as-built building information modeling (BIM) models from point clouds show great potential in managing building information. The automatic creation of as-built BIM models from point clouds is important yet challenging due to the inefficiency of semantic segmentation. To overcome this challenge, this paper proposes a novel deep learning-based approach, ResPointNet++, by integrating deep residual learning with conventional PointNet++ network. To unleash the power of deep learning methods, this study firstly builds an expert-labeled high-quality industrial LiDAR dataset containing 80 million data points collected from four different industrial scenes covering nearly 4000 m2. Our dataset consists of five typical semantic categories of plumbing and structural components (i.e., pipes, pumps, tanks, I-shape and rectangular beams). Second, we introduce two effective neural modules including local aggregation operator and residual bottleneck modules to learn complex local structures from neighborhood regions and build up deeper point cloud networks with residual settings. Based on these two neural modules, we construct our proposed network, ResPointNet++, with a U-Net style encoder-decoder structure. To validate the proposed method, comprehensive experiments are conducted to compare the robustness and efficiency of our ResPointNet++ with two representative baseline methods (PointNet and PointNet++) on our benchmark dataset. The experimental results demonstrate that ResPointNet++ outperforms two baselines with a remarkable overall segmentation accuracy of 94% and mIoU of 87%, which is 23% and 42% higher than that of conventional PointNet++, respectively. Finally, ablation studies are performed to evaluate the influence of design choices of the local aggregation operator module including input feature type and aggregation function type. This study contributes to automated 3D scene interpretation of industrial point clouds as well as the as-built BIM creation for industrial components such as pipes and beams. © 2021 Elsevier B.V.",As-built BIM; Deep learning; Industrial object recognition; Laser scanning; Local aggregation operator; Point clouds; PointNet++; Residual learning; Semantic segmentation,Article,Final,,Scopus,2-s2.0-85112036660
Xiu H.; Vinayaraj P.; Kim K.-S.; Nakamura R.; Yan W.,"Xiu, Haoyi (57215270239); Vinayaraj, Poliyapram (54380886600); Kim, Kyoung-Sook (57184508400); Nakamura, Ryosuke (55439424500); Yan, Wanglin (38362610300)",57215270239; 54380886600; 57184508400; 55439424500; 38362610300,3D semantic segmentation for high-resolution aerial survey derived point clouds using deep learning (demonstration),2018,GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,,,,588,591,3,11,10.1145/3274895.3274950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058658588&doi=10.1145%2f3274895.3274950&partnerID=40&md5=15c76a1f570fe79f3f2b40ce7e5eb938,"Three-dimensional (3D) Semantic segmentation of aerial derived point cloud aims at assigning each point to a semantic class such as building, tree, road, and so on. Accurate 3D-segmentation results can be used as an essential information for constructing 3D city models, for assessing the urban expansion and economical condition. However, the fine-grained semantic segmentation is a challenge in high-resolution point cloud due to irregularly distributed points unlike regular pixels of image. In this demonstration, we present a case study to apply PointNet, a novel deep learning network, to outdoor aerial survey derived point clouds by considering intensity (depth) as well as spectral information (RGB). PointNet was basically designed for indoor point cloud data based on the permutation invariance of 3D points. We firstly fuse two surveying datasets of Light Detection and ranging (LiDAR) and aerial images for generating multi-sourced aerial point clouds (RGB-DI). Then, each point of fused data is classified into a semantic class of ordinary building, public facility, apartment, factory, transportation network, park, and water by reworking PointNet. The result of our approach by using deep learning shows about 0.88 accuracy and 0.64 F-measure of semantic segmentation with the RGB-DI data we have fused. It outperforms a Support Vector Machine(SVM) approach based on geometric features of linearity, planarity, scattering, and verticality of a set of 3D points. © 2018 held by the owner/author(s).",3D-segmentation; Aerial images; Deep learning; Point cloud; PointNet,Conference paper,Final,,Scopus,2-s2.0-85058658588
Bayu A.; Wibisono A.; Wisesa H.A.; Intizhami N.S.; Jatmiko W.; Gamal A.,"Bayu, Azady (57211313745); Wibisono, Ari (55625531300); Wisesa, Hanif Arief (57189234078); Intizhami, Naili Suri (57211322215); Jatmiko, Wisnu (8568432600); Gamal, Ahmad (57200131887)",57211313745; 55625531300; 57189234078; 57211322215; 8568432600; 57200131887,Semantic Segmentation of Lidar Point Cloud in Rural Area,2019,"2019 IEEE International Conference on Communication, Networks and Satellite, Comnetsat 2019 - Proceedings",,,8844074,73,78,5,5,10.1109/COMNETSAT.2019.8844074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073442780&doi=10.1109%2fCOMNETSAT.2019.8844074&partnerID=40&md5=bcd448d509e2faa11d1295340d9f39ff,"A 3D surface modeling format that is commonly used today is point cloud. 3D surface model segmentation could provide data for analysis in various fields. In the context of Geographic Information Systems, point cloud data obtained from the Light Detection and Ranging (LiDAR) sensor are used by machines to automatically identify objects such as houses, buildings, land, and rivers. There has been many Deep Learning approach through Convolutional Neural Network (CNN) that has been proven to be very capable for 2-dimensional imagery classification and segmentation. PointNet is a Deep Learning architecture that is designed so that the point cloud format that is still tabular form, can be directly convoluted by the CNN model. In this study, an improvement of PointNet is proposed for Point Cloud data of Kupang City. The Point Cloud data were acquired using an Unmanned Aerial Vehicle with a LiDAR sensor installed. The data were pre-processed and divided into training and testing data. The data were processed with the PointNet architecture and the model was tested using several metrics. The experiment shows that the PointNet architecture is capable on segmenting Geographical Point Cloud Data. In addition, incorporating voxel's color features could increase the performance of the segmentation. © 2019 IEEE.",Convolutional Neural Network; Deep Learning; LiDAR; Point Cloud; PointNet,Conference paper,Final,,Scopus,2-s2.0-85073442780
Xing X.; Qian Y.; Feng S.; Dong Y.; Matas J.,"Xing, Xiaoyan (57405684600); Qian, Yanlin (57194201188); Feng, Sibo (57353567800); Dong, Yuhan (8224043200); Matas, Jiri (7006443210)",57405684600; 57194201188; 57353567800; 8224043200; 7006443210,Point Cloud Color Constancy,2022,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2022-June,,,19718,19727,9,0,10.1109/CVPR52688.2022.01913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141777328&doi=10.1109%2fCVPR52688.2022.01913&partnerID=40&md5=8049d88a4687a2a7bea1f3da32a50586,"In this paper, we present Point Cloud Color Constancy, in short PCCC, an illumination chromaticity estimation algorithm exploiting a point cloud. We leverage the depth information captured by the time-of-flight (ToF) sensor mounted rigidly with the RGB sensor, and form a 6D cloud where each point contains the coordinates and RGB intensities, noted as (x,y,z, r,g, b). PCCC applies the PointNet architecture to the color constancy problem, deriving the illumination vector point-wise and then making a global decision about the global illumination chromaticity. On two popular RGB-D datasets, which we extend with illumination information, as well as on a novel benchmark, PCCC obtains lower error than the state-of-the-art algorithms. Our method is simple andfast, requiring merely 16 x 16-size input and reaching speed over 140 fps (CPU time), including the cost of building the point cloud and net inference. © 2022 IEEE.",Computational photography; Datasets and evaluation; Low-level vision,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85141777328
Chen X.; Jiang K.; Zhu Y.; Wang X.; Yun T.,"Chen, Xinxin (58379754600); Jiang, Kang (57208528587); Zhu, Yushi (57221845697); Wang, Xiangjun (55238016400); Yun, Ting (55273559900)",58379754600; 57208528587; 57221845697; 55238016400; 55273559900,Individual tree crown segmentation directly from uav-borne lidar data using the pointnet of deep learning,2021,Forests,12,2,131,1,22,21,62,10.3390/f12020131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100411444&doi=10.3390%2ff12020131&partnerID=40&md5=b424decc7a73c89726d7a7581c8e76d6,"Accurate individual tree crown (ITC) segmentation from scanned point clouds is a fun-damental task in forest biomass monitoring and forest ecology management. Light detection and ranging (LiDAR) as a mainstream tool for forest survey is advancing the pattern of forest data acquisition. In this study, we performed a novel deep learning framework directly processing the forest point clouds belonging to the four forest types (i.e., the nursery base, the monastery garden, the mixed forest, and the defoliated forest) to realize the ITC segmentation. The specific steps of our approach were as follows: first, a voxelization strategy was conducted to subdivide the collected point clouds with various tree species from various forest types into many voxels. These voxels containing point clouds were taken as training samples for the PointNet deep learning framework to identify the tree crowns at the voxel scale. Second, based on the initial segmentation results, we used the height-related gradient information to accurately depict the boundaries of each tree crown. Meanwhile, the retrieved tree crown breadths of individual trees were compared with field measurements to verify the effectiveness of our approach. Among the four forest types, our results revealed the best performance for the nursery base (tree crown detection rate r = 0.90; crown breadth estimation R2 > 0.94 and root mean squared error (RMSE) < 0.2m). A sound performance was also achieved for the monastery garden and mixed forest, which had complex forest structures, complicated intersections of branches and different building types, with r = 0.85, R2 > 0.88 and RMSE < 0.6 m for the monastery garden and r = 0.80, R2 > 0.85 and RMSE < 0.8 m for the mixed forest. For the fourth forest plot type with the distribution of crown defoliation across the woodland, we achieved the performance with r = 0.82, R2 > 0.79 and RMSE < 0.7 m. Our method presents a robust framework inspired by the deep learning technology and computer graphics theory that solves the ITC segmentation problem and retrieves forest parameters under various forest conditions. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Airborne LiDAR data; Computer graphics; Deep learning; Individual tree crown segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85100411444
Morbidoni C.; Pierdicca R.; Paolanti M.; Quattrini R.; Mammoli R.,"Morbidoni, Christian (15136812700); Pierdicca, Roberto (56460209100); Paolanti, Marina (57188734162); Quattrini, Ramona (55755385800); Mammoli, Raissa (57202441160)",15136812700; 56460209100; 57188734162; 55755385800; 57202441160,Learning from synthetic point cloud data for historical buildings semantic segmentation,2020,Journal on Computing and Cultural Heritage,13,4,34,,,,28,10.1145/3409262,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092167437&doi=10.1145%2f3409262&partnerID=40&md5=26aa6f0385489c5289a9cb52d34566cf,"Historical heritage is demanding robust pipelines for obtaining Heritage Building Information Modeling models that are fully interoperable and rich in their informative content. The definition of efficient Scan-to-BIM workflows represent a very important step toward a more efficient management of the historical real estate, as creating structured three-dimensional (3D) models from point clouds is complex and time-consuming. In this scenario, semantic segmentation of 3D Point Clouds is gaining more and more attention, since it might help to automatically recognize historical architectural elements. The way paved by recent Deep Learning approaches proved to provide reliable and affordable degrees of automation in other contexts, as road scenes understanding. However, semantic segmentation is particularly challenging in historical and classical architecture, due to the shapes complexity and the limited repeatability of elements across different buildings, which makes it difficult to define common patterns within the same class of elements. Furthermore, as Deep Learning models requires a considerably large amount of annotated data to be trained and tuned to properly handle unseen scenes, the lack of (big) publicly available annotated point clouds in the historical building domain is a huge problem, which in fact blocks the research in this direction. However, creating a critical mass of annotated point clouds by manual annotation is very time-consuming and impractical. To tackle this issue, in this work we explore the idea of leveraging synthetic point cloud data to train Deep Learning models to perform semantic segmentation of point clouds obtained via Terrestrial Laser Scanning. The aim is to provide a first assessment of the use of synthetic data to drive Deep Learning–based semantic segmentation in the context of historical buildings. To achieve this purpose, we present an improved version of the Dynamic Graph CNN (DGCNN) named RadDGCNN. The main improvement consists on exploiting the radius distance. In our experiments, we evaluate the trained models on synthetic dataset (publicly available) about two different historical buildings: the Ducal Palace in Urbino, Italy, and Palazzo Ferretti in Ancona, Italy. RadDGCNN yields good results, demonstrating improved segmentation performances on the TLS real datasets. © 2020 Association for Computing Machinery.",Cultural heritage; Deep learning; Dynamic graph convolutional neural network; Historical building; Point cloud semantic segmentation; Radius distance; Scan-to-BIM; Synthetic point cloud,Article,Final,,Scopus,2-s2.0-85092167437
Matrone F.; Martini M.,"Matrone, Francesca (57195330111); Martini, Massimo (57209009649)",57195330111; 57209009649,TRANSFER LEARNING AND PERFORMANCE ENHANCEMENT TECHNIQUES FOR DEEP SEMANTIC SEGMENTATION OF BUILT HERITAGE POINT CLOUDS; [TRANSFERENCIA DE TÉCNICAS DE APRENDIZAJE Y MEJORA DEL RENDIMIENTO EN LA SEGMENTACIÓN SEMÁNTICA PROFUNDA DE NUBES DE PUNTOS DEL PATRIMONIO CONSTRUIDO],2021,Virtual Archaeology Review,12,25,,73,84,11,3,10.4995/var.2021.15318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111484214&doi=10.4995%2fvar.2021.15318&partnerID=40&md5=74ee2cd13b9edac9443764fc80bc6008,"The growing availability of three-dimensional (3D) data, such as point clouds, coming from Light Detection and Ranging (LiDAR), Mobile Mapping Systems (MMSs) or Unmanned Aerial Vehicles (UAVs), provides the opportunity to rapidly generate 3D models to support the restoration, conservation, and safeguarding activities of cultural heritage (CH). The so-called scan-to-BIM process can, in fact, benefit from such data, and they can themselves be a source for further analyses or activities on the archaeological and built heritage. There are several ways to exploit this type of data, such as Historic Building Information Modelling (HBIM), mesh creation, rasterisation, classification, and semantic segmentation. The latter, referring to point clouds, is a trending topic not only in the CH domain but also in other fields like autonomous navigation, medicine or retail. Precisely in these sectors, the task of semantic segmentation has been mainly exploited and developed with artificial intelligence techniques. In particular, machine learning (ML) algorithms, and their deep learning (DL) subset, are increasingly applied and have established a solid state-of-the-art in the last half-decade. However, applications of DL techniques on heritage point clouds are still scarce; therefore, we propose to tackle this framework within the built heritage field. Starting from some previous tests with the Dynamic Graph Convolutional Neural Network (DGCNN), in this research close attention is paid to: i) the investigation of fine-tuned models, used as a transfer learning technique, ii) the combination of external classifiers, such as Random Forest (RF), with the artificial neural network, and iii) data augmentation results evaluation for the domain-specific ArCH dataset. Finally, after analysing the main advantages and critical aspects, a proposal is made evaluating the extent to which this methodology can also be useful for non-programming or domain experts. © 2021. All Rights Reserved.",aprendizaje profundo; cultural heritage; deep learning; deep neural networks; nubes de puntos; patrimonio cultural; point clouds; redes neuronales profundas; segmentación semántica; semantic segmentation,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85111484214
Malinverni E.S.; Pierdicca R.; Paolanti M.; Martini M.; Morbidoni C.; Matrone F.; Lingua A.,"Malinverni, E.S. (14066631000); Pierdicca, R. (56460209100); Paolanti, M. (57188734162); Martini, M. (57209009649); Morbidoni, C. (15136812700); Matrone, F. (57195330111); Lingua, A. (6507402873)",14066631000; 56460209100; 57188734162; 57209009649; 15136812700; 57195330111; 6507402873,DEEP LEARNING for SEMANTIC SEGMENTATION of 3D POINT CLOUD,2019,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",42,2/W15,,735,742,7,42,10.5194/isprs-archives-XLII-2-W15-735-2019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072167750&doi=10.5194%2fisprs-archives-XLII-2-W15-735-2019&partnerID=40&md5=4451f7ae78332a88f1344a7dc4863375,"Cultural Heritage is a testimony of past human activity, and, as such, its objects exhibit great variety in their nature, size and complexity; from small artefacts and museum items to cultural landscapes, from historical building and ancient monuments to city centers and archaeological sites. Cultural Heritage around the globe suffers from wars, natural disasters and human negligence. The importance of digital documentation is well recognized and there is an increasing pressure to document our heritage both nationally and internationally. For this reason, the three-dimensional scanning and modeling of sites and artifacts of cultural heritage have remarkably increased in recent years. The semantic segmentation of point clouds is an essential step of the entire pipeline; in fact, it allows to decompose complex architectures in single elements, which are then enriched with meaningful information within Building Information Modelling software. Notwithstanding, this step is very time consuming and completely entrusted on the manual work of domain experts, far from being automatized. This work describes a method to label and cluster automatically a point cloud based on a supervised Deep Learning approach, using a state-of-the-art Neural Network called PointNet++. Despite other methods are known, we have choose PointNet++ as it reached significant results for classifying and segmenting 3D point clouds. PointNet++ has been tested and improved, by training the network with annotated point clouds coming from a real survey and to evaluate how performance changes according to the input training data. It can result of great interest for the research community dealing with the point cloud semantic segmentation, since it makes public a labelled dataset of CH elements for further tests. © 2019 International Society for Photogrammetry and Remote Sensing. All rights reserved.",Classification; Deep Learning; Point Cloud; Segmentation; Synthetic Dataset,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85072167750
Ma Z.; Oude Elberink S.; Lin Y.; Xu P.; Xiang B.; Koch B.; Weinacker H.,"Ma, Zhenyu (57201976408); Oude Elberink, Sander (57792194200); Lin, Yaping (57202450197); Xu, Panpan (57218565532); Xiang, Binbin (57193681526); Koch, Barbara (15069557700); Weinacker, Holger (24466119600)",57201976408; 57792194200; 57202450197; 57218565532; 57193681526; 15069557700; 24466119600,Strict rule-based automatic training data extraction using Mobile laser scanning in urban area,2023,ISPRS Journal of Photogrammetry and Remote Sensing,195,,,313,334,21,0,10.1016/j.isprsjprs.2022.10.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144823561&doi=10.1016%2fj.isprsjprs.2022.10.007&partnerID=40&md5=bb06e2c98a943e129a0dcff620b1ea67,"To reduce the cost of manually annotating training data for supervised classifiers, we propose an automated approach to extract training data of urban objects in six classes: buildings, fences, man-made poles, vegetation, vehicles, and low objects. In this study, two segmentation algorithms are firstly implemented to generate meaningful objects from the non-ground point cloud. Then, we generated valid strict rules to label partial RANSAC (Random Sample Consensus) planes and meaningful objects as training data. The strict rules are built upon the semantic knowledge formed by the features of geometric, eigenvalue, RANSAC plane, multidimensional slice, and relative location. The accuracy of strict rule-based (SRB) training data is higher than 98.5 % for buildings, man-made poles, vegetation, and vehicles. The accuracy of low objects and fences reaches 97.10 % and 94.99 %, respectively. Finally, we compared the performance of the KPConv and PointNET++ networks trained by SRB and manually labeled training data to evaluate the effectiveness of our training data. The KPConv overall accuracy using manually labeled and (SRB) training data are 91.5 % and 86.8 % in the Paris dataset, 95.6 % and 92.0 % in the Freiburg dataset, respectively. The experiments demonstrate that automatically labeled training data can achieve similar accuracy compared to manual labels when coupled with two deep learning networks. Therefore, SRB training data extraction can effectively deal with the problem of training data scarcity and provide significant advancements in urban point cloud classification, where manual labeling of training data remains a crucial challenge. © 2022 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS)",Deep learning; Meaningful object; Mobile laser scanning; Strict rule-based (SRB); Training data; Urban area,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85144823561
